Year,GrandPrix,Driver,Team,GridPosition,is_winner,is_top3,points,LapTime,Sector1Time,Sector2Time,Sector3Time,TyreLife,speed,rpm,driver_form,team_performance,track_history
2021,Spain,LEC,Ferrari,2.0,0,0,159.0,85.42852307692309,22.891,30.191,27.267,31.0,327.0,6659.681871345029,159.0,811.5,0.0
2021,Spain,MAZ,Haas F1 Team,,0,0,0.0,87.9591746031746,23.496,31.892,28.548,22.0,327.0,6659.681871345029,0.0,0.0,0.0
2021,Spain,MSC,Haas F1 Team,,0,0,0.0,87.20241269841269,23.191,30.976,27.993,27.0,327.0,6659.681871345029,0.0,0.0,0.0
2021,Spain,NOR,McLaren,7.0,0,0,160.0,86.22353125,22.433,30.646,27.856,28.0,327.0,6659.681871345029,160.0,665.0,0.0
2021,Spain,OCO,Alpine,,0,0,74.0,86.46040625,23.362,31.399,28.275,42.0,327.0,6659.681871345029,74.0,391.0,0.0
2021,Spain,PER,Red Bull Racing,5.0,0,0,190.0,85.52935384615385,22.801,29.793,26.889,30.0,327.0,6659.681871345029,190.0,1566.5,0.0
2021,Spain,RAI,Alfa Romeo Racing,,0,0,10.0,86.50121875,22.96,31.249,27.976,37.0,327.0,6659.681871345029,10.0,29.0,0.0
2021,Spain,RIC,McLaren,,0,0,115.0,85.69792307692308,22.871,30.665,27.749,28.0,327.0,6659.681871345029,115.0,710.0,0.0
2021,Spain,RUS,Williams,3.0,0,0,16.0,86.69325,23.319,30.988,28.064,37.0,327.0,6659.681871345029,16.0,53.0,0.0
2021,Spain,SAI,Ferrari,4.0,0,0,164.5,85.6746153846154,22.726,30.823,27.757,25.0,327.0,6659.681871345029,164.5,806.0,0.0
2021,Spain,STR,Aston Martin,,0,0,34.0,86.509625,22.83,31.143,28.148,29.0,327.0,6659.681871345029,34.0,197.0,0.0
2021,Spain,TSU,AlphaTauri,,0,0,32.0,86.12719999999999,23.859,31.994,28.937,7.0,327.0,6659.681871345029,32.0,394.0,0.0
2021,Spain,VER,Red Bull Racing,1.0,1,1,395.5,84.88201538461539,22.272,29.205,26.672,36.0,327.0,6659.681871345029,395.5,1361.0,0.0
2021,Spain,VET,Aston Martin,,0,0,43.0,86.5866875,23.003,31.061,28.28,30.0,327.0,6659.681871345029,43.0,188.0,0.0
2023,Austria,ALB,Williams,6.0,0,0,27.0,73.00462857142857,17.254,31.123,20.951,30.0,330.0,6505.487164232382,0.0,62.0,0.0
2023,Austria,ALO,Aston Martin,,0,0,206.0,72.51068571428571,17.071,30.684,20.769,29.0,323.0,6446.084600053544,81.0,197.0,81.0
2023,Austria,BOT,Alfa Romeo,,0,0,10.0,73.54147826086957,17.193,31.142,21.014,30.0,324.0,6617.0999850052485,226.0,0.0,226.0
2023,Austria,DEV,AlphaTauri,,0,0,0.0,73.32791304347826,17.319,31.166,21.09,33.0,335.0,6590.617425707232,0.0,316.0,0.0
2023,Austria,GAS,Alpine,,0,0,62.0,72.8415,17.364,30.574,20.806,30.0,318.0,5834.675194098224,110.0,384.0,110.0
2023,Austria,HAM,Mercedes,9.0,0,1,234.0,72.69527142857143,17.149,30.928,20.789,29.0,325.0,6396.14865796971,387.5,1614.5,387.5
2023,Austria,HUL,Haas F1 Team,10.0,0,0,9.0,81.35281818181818,17.307,31.41,21.657,14.0,330.0,6661.461403456585,0.0,0.0,0.0
2023,Austria,LEC,Ferrari,2.0,0,0,206.0,72.27751428571429,17.35,30.631,20.73,32.0,333.0,6660.04625635839,159.0,811.5,159.0
2023,Austria,MAG,Haas F1 Team,,0,0,3.0,73.76576470588236,17.252,31.241,21.201,37.0,323.0,4087.3112115893755,0.0,9.0,0.0
2023,Austria,NOR,McLaren,7.0,0,0,205.0,72.48038571428572,17.085,30.687,20.731,30.0,312.0,6676.4440610405445,160.0,665.0,160.0
2023,Austria,OCO,Alpine,,0,0,58.0,73.19755072463768,17.242,31.121,20.955,30.0,318.0,1575.7528631347236,74.0,372.0,74.0
2023,Austria,PER,Red Bull Racing,5.0,0,1,285.0,72.19457142857142,16.835,30.275,20.568,25.0,339.0,6529.4551268703335,190.0,1566.5,190.0
2023,Austria,PIA,McLaren,8.0,0,0,97.0,73.62826086956522,17.273,31.07,20.958,29.0,323.0,6659.681871345029,0.0,755.0,0.0
2023,Austria,RUS,Mercedes,3.0,0,0,175.0,72.68,17.247,30.943,20.795,30.0,326.0,6543.401169590643,16.0,1461.0,16.0
2023,Austria,SAI,Ferrari,4.0,0,0,200.0,72.47604285714286,17.018,30.539,20.796,30.0,331.0,6673.738731443995,164.5,853.0,164.5
2023,Austria,SAR,Williams,,0,0,1.0,73.1798115942029,17.219,31.157,21.07,29.0,332.0,6489.787518219949,0.0,73.0,0.0
2023,Austria,STR,Aston Martin,,0,0,74.0,72.87531428571428,17.21,30.401,20.662,21.0,334.0,6568.007496207276,34.0,360.0,34.0
2023,Austria,TSU,AlphaTauri,,0,0,17.0,73.50855072463769,17.198,30.92,21.144,27.0,331.0,6613.327780587203,32.0,284.0,32.0
2023,Austria,VER,Red Bull Racing,1.0,1,1,575.0,72.22811428571428,17.04,29.896,20.076,25.0,321.0,6493.64193711515,395.5,1456.0,395.5
2023,Austria,ZHO,Alfa Romeo,,0,0,6.0,73.33153623188406,17.175,31.061,20.999,32.0,332.0,6476.313442603445,0.0,10.0,0.0
2023,Belgium,ALB,Williams,6.0,0,0,27.0,114.56453488372092,31.336,48.936,29.513,16.0,330.0,6505.487164232382,27.0,67.0,0.0
2023,Belgium,ALO,Aston Martin,,0,0,206.0,113.68288372093022,31.702,48.452,30.064,19.0,323.0,6446.084600053544,122.66666666666667,400.0,81.0
2023,Belgium,BOT,Alfa Romeo,,0,0,10.0,114.29018604651164,31.741,48.103,29.705,20.0,324.0,6617.099985005248,154.0,16.0,226.0
2023,Belgium,GAS,Alpine,,0,0,62.0,114.20197674418606,31.455,49.224,29.858,23.0,318.0,5834.675194098224,94.0,349.0,110.0
2023,Belgium,HAM,Mercedes,9.0,0,1,234.0,113.60258139534884,31.545,46.47,29.29,15.0,325.0,6396.148657969709,336.3333333333333,1410.0,387.5
2023,Belgium,HUL,Haas F1 Team,10.0,0,0,9.0,114.82860465116279,31.307,48.733,29.867,20.0,330.0,6661.461403456586,9.0,12.0,0.0
2023,Belgium,LEC,Ferrari,2.0,0,0,206.0,113.21220930232558,32.085,47.434,29.821,16.0,333.0,6660.04625635839,174.66666666666666,894.0,159.0
2023,Belgium,MAG,Haas F1 Team,,0,0,3.0,114.6133488372093,31.748,49.06,29.92,20.0,323.0,4087.311211589375,3.0,21.0,0.0
2023,Belgium,NOR,McLaren,7.0,0,0,205.0,114.0776046511628,32.307,48.356,30.26,27.0,312.0,6676.4440610405445,175.0,692.0,160.0
2023,Belgium,OCO,Alpine,,0,0,58.0,114.02981395348837,31.249,48.604,30.005,19.0,318.0,1575.7528631347234,68.66666666666667,337.0,74.0
2023,Belgium,PER,Red Bull Racing,5.0,0,1,285.0,113.01069767441861,32.265,48.099,29.828,16.0,339.0,6529.4551268703335,221.66666666666666,1841.0,190.0
